Rank,TaxonName,Order,Family
species,Oreta rosea,Lepidoptera,Drepanidae
genus,Zelus,Hemiptera,Reduviidae
species,Micrathena sagittata,Araneae,Araneidae
species,Acanthocephala terminalis,Hemiptera,Coreidae
genus,Datana,Lepidoptera,Notodontidae
subfamily,Oecanthinae,Orthoptera,Oecanthidae
family,Cicadellidae,Hemiptera,Cicadellidae
species,Paraxenetus guttulatus,Hemiptera,Miridae
family,Hemerobiidae,Neuroptera,Hemerobiidae
genus,Corythucha,Hemiptera,Tingidae
genus,Orgyia,Lepidoptera,Erebidae
species,Lygus lineolaris,Hemiptera,Miridae
species,Lymantria dispar,Lepidoptera,Erebidae
family,Tortricidae,Lepidoptera,Tortricidae
species,Hypercompe scribonia,Lepidoptera,Erebidae
species,Sciaphilus asperatus,Coleoptera,Curculionidae
species,Peridea basitriens,Lepidoptera,Notodontidae
species,Orgyia leucostigma,Lepidoptera,Erebidae
species,Acronicta interrupta,Lepidoptera,Noctuidae
genus,Theridula,Araneae,Theridiidae
family,Curculionidae,Coleoptera,Curculionidae
family,Acanaloniidae,Hemiptera,Acanaloniidae
family,Tingidae,Hemiptera,Tingidae
family,Noctuidae,Lepidoptera,Noctuidae
species,Epimecis hortaria,Lepidoptera,Geometridae
genus,Anisota,Lepidoptera,Saturniidae
genus,Trypherus,Coleoptera,Cantharidae
subfamily,Limenitidinae,Lepidoptera,Nymphalidae
section,Graphocephala,Hemiptera,Cicadellidae
species,Malacosoma disstria,Lepidoptera,Lasiocampidae
genus,Tmarus,Araneae,Thomisidae
genus,Caliroa,Hymenoptera,Tenthredinidae
subfamily,Noctuinae,Lepidoptera,Noctuidae
genus,Lochmaeus,Lepidoptera,Notodontidae
species,Hyaliodes harti,Hemiptera,Miridae
species,Cerastipsocus venosus,Psocodea,Psocidae
species,Misumessus oblongus,Araneae,Thomisidae
family,Membracidae,Hemiptera,Membracidae
species,Morrisonia confusa,Lepidoptera,Noctuidae
genus,Trigonarthris,Coleoptera,Cerambycidae
genus,Cyrtoxipha,Orthoptera,Trigonidiidae
species,Halysidota harrisii,Lepidoptera,Erebidae
family,Chrysomelidae,Coleoptera,Chrysomelidae
subgenus,Gyponana,Hemiptera,Cicadellidae
family,Dolichopodidae,Diptera,Dolichopodidae
genus,Panopoda,Lepidoptera,Erebidae
family,Aphrophoridae,Hemiptera,Aphrophoridae
species,Cyrtepistomus castaneus,Coleoptera,Curculionidae
subfamily,Elaterinae,Coleoptera,Elateridae
family,Miridae,Hemiptera,Miridae
subfamily,Hypeninae,Lepidoptera,Erebidae
genus,Pyreferra,Lepidoptera,Noctuidae
family,Notodontidae,Lepidoptera,Notodontidae
genus,Orocharis,Orthoptera,Podoscirtidae
genus,Hypena,Lepidoptera,Erebidae
species,Phyllobius oblongus,Coleoptera,Curculionidae
genus,Photuris,Coleoptera,Lampyridae
genus,Brachys,Coleoptera,Buprestidae
family,Issidae,Hemiptera,Issidae
species,Tenomerga cinerea,Coleoptera,Cupedidae
genus,Euschistus,Hemiptera,Pentatomidae
species,Arilus cristatus,Hemiptera,Reduviidae
species,Spilosoma virginica,Lepidoptera,Erebidae
genus,Wulfila,Araneae,Anyphaenidae
species,Colonus sylvanus,Araneae,Salticidae
genus,Anyphaena,Araneae,Anyphaenidae
genus,Feralia,Lepidoptera,Noctuidae
species,Diapheromera femorata,Phasmida,Diapheromeridae
family,Philodromidae,Araneae,Philodromidae
family,Syrphidae,Diptera,Syrphidae
species,Leucochrysa insularis,Neuroptera,Chrysopidae
genus,Eudioctria,Diptera,Asilidae
family,Tetragnathidae,Araneae,Tetragnathidae
species,Heterocampa umbrata,Lepidoptera,Notodontidae
genus,Halysidota,Lepidoptera,Erebidae
family,Alydidae,Hemiptera,Alydidae
genus,Enchenopa,Hymenoptera,Mymaridae
family,Crabronidae,Hymenoptera,Crabronidae
species,Toxomerus geminatus,Diptera,Syrphidae
species,Synema parvulum,Araneae,Thomisidae
family,Tischeriidae,Lepidoptera,Tischeriidae
genus,Phytocoris,Hemiptera,Miridae
species,Discus rotundatus,Stylommatophora,Discidae
species,Dermacentor variabilis,Ixodida,Ixodidae
species,Neoxabea bipunctata,Orthoptera,Oecanthidae
genus,Nadata,Lepidoptera,Notodontidae
genus,Dialysis,Diptera,Xylophagidae
genus,Condylostylus,Diptera,Dolichopodidae
species,Pyrrharctia isabella,Lepidoptera,Erebidae
subfamily,Lymantriinae,Lepidoptera,Erebidae
species,Verrucosa arenata,Araneae,Araneidae
family,Gomphidae,Odonata,Gomphidae
family,Linyphiidae,Araneae,Linyphiidae
genus,Stictocephala,Hemiptera,Membracidae
genus,Bassareus,Coleoptera,Chrysomelidae
subfamily,Chironominae,Diptera,Chironomidae
genus,Parasteatoda,Araneae,Theridiidae
genus,Synageles,Araneae,Salticidae
genus,Graphopsocus,Psocodea,Stenopsocidae
species,Camponotus chromaiodes,Hymenoptera,Formicidae
genus,Photinus,Coleoptera,Lampyridae
species,Alaus oculatus,Coleoptera,Elateridae
species,Chrysopilus thoracicus,Diptera,Rhagionidae
genus,Leucauge,Araneae,Tetragnathidae
genus,Lithophane,Lepidoptera,Noctuidae
species,Bombus impatiens,Hymenoptera,Apidae
species,Camptonotus carolinensis,Orthoptera,Gryllacrididae
genus,Leiobunum,Opiliones,Sclerosomatidae
subfamily,Formicinae,Hymenoptera,Formicidae
species,Leiobunum verrucosum,Opiliones,Sclerosomatidae
genus,Curculio,Coleoptera,Curculionidae
genus,Eustala,Araneae,Araneidae
species,Macaria bisignata,Lepidoptera,Geometridae
family,Tenebrionidae,Coleoptera,Tenebrionidae
family,Tettigoniidae,Orthoptera,Tettigoniidae
genus,Anelaphus,Coleoptera,Cerambycidae
family,Lauxaniidae,Diptera,Lauxaniidae
genus,Banasa,Hemiptera,Pentatomidae
species,Operophtera brumata,Lepidoptera,Geometridae
species,Argia tibialis,Odonata,Coenagrionidae
subfamily,Syrphinae,Diptera,Syrphidae
species,Paraphidippus aurantius,Araneae,Salticidae
species,Zygogramma suturalis,Coleoptera,Chrysomelidae
genus,Brochymena,Hemiptera,Pentatomidae
genus,Xysticus,Araneae,Thomisidae
species,Chauliognathus marginatus,Coleoptera,Cantharidae
subfamily,Amphipyrinae,Lepidoptera,Noctuidae
family,Trachelidae,Araneae,Trachelidae
species,Prenolepis imparis,Hymenoptera,Formicidae
species,Camponotus castaneus,Hymenoptera,Formicidae
species,Lucidota atra,Coleoptera,Lampyridae
family,Rhagionidae,Diptera,Rhagionidae
species,Formica subsericea,Hymenoptera,Formicidae
genus,Nomada,Hymenoptera,Apidae
family,Coreidae,Hemiptera,Coreidae
family,Cantharidae,Coleoptera,Cantharidae
species,Schizura unicornis,Lepidoptera,Notodontidae
species,Eutrapela clemataria,Lepidoptera,Geometridae
species,Harrisimemna trisignata,Lepidoptera,Noctuidae
family,Sphingidae,Lepidoptera,Sphingidae
genus,Sinea,Hemiptera,Reduviidae
species,Heterocampa guttivitta,Lepidoptera,Notodontidae
species,Charadra deridens,Lepidoptera,Noctuidae
genus,Schizura,Lepidoptera,Notodontidae
species,Macrurocampa marthesia,Lepidoptera,Notodontidae
species,Acronicta impleta,Lepidoptera,Noctuidae
genus,Colocasia,Lepidoptera,Noctuidae
subfamily,Emesinae,Hemiptera,Reduviidae
genus,Eulithis,Lepidoptera,Geometridae
genus,Lopidea,Hemiptera,Miridae
species,Podabrus rugosulus,Coleoptera,Cantharidae
genus,Mecaphesa,Araneae,Thomisidae
genus,Leptoglossus,Hemiptera,Coreidae
species,Formica pallidefulva,Hymenoptera,Formicidae
species,Phidippus otiosus,Araneae,Salticidae
species,Blattella germanica,Blattodea,Blattellidae
species,Pisaurina mira,Araneae,Pisauridae
family,Argidae,Hymenoptera,Argidae
species,Leiobunum vittatum,Opiliones,Sclerosomatidae
genus,Scudderia,Orthoptera,Tettigoniidae
species,Psyllobora vigintimaculata,Coleoptera,Coccinellidae
genus,Polistes,Hymenoptera,Vespidae
species,Admestina tibialis,Araneae,Salticidae
family,Erebidae,Lepidoptera,Erebidae
family,Agelenidae,Araneae,Agelenidae
species,Xylocopa virginica,Hymenoptera,Apidae
species,Velarifictorus micado,Orthoptera,Gryllidae
species,Prosapia bicincta,Hemiptera,Cercopidae
family,Cicadidae,Hemiptera,Cicadidae
species,Anisota virginiensis,Lepidoptera,Saturniidae
species,Dyspteris abortivaria,Lepidoptera,Geometridae
genus,Cycloptilum,Orthoptera,Mogoplistidae
subfamily,Harpactorinae,Hemiptera,Reduviidae
family,Gerridae,Hemiptera,Gerridae
species,Microcentrum retinerve,Orthoptera,Tettigoniidae
species,Telebasis byersi,Odonata,Coenagrionidae
species,Campyloneura virgula,Hemiptera,Miridae
species,Forficula auricularia,Dermaptera,Forficulidae
genus,Eupithecia,Lepidoptera,Geometridae
species,Araniella displicata,Araneae,Araneidae
subfamily,Coreinae,Hemiptera,Coreidae
family,Sciaridae,Diptera,Sciaridae
species,Bibio femoratus,Diptera,Bibionidae
family,Melyridae,Coleoptera,Melyridae
species,Trachelas tranquillus,Araneae,Corinnidae
species,Odontopus calceatus,Coleoptera,Curculionidae
subfamily,Coccinellinae,Coleoptera,Coccinellidae
family,Mordellidae,Coleoptera,Mordellidae
species,Tapinoma sessile,Hymenoptera,Formicidae
family,Uloboridae,Araneae,Uloboridae
subfamily,Myrmicinae,Hymenoptera,Formicidae
genus,Homoneura,Diptera,Lauxaniidae
genus,Myrmica,Hymenoptera,Formicidae
tribe,Lasiini,Hymenoptera,Formicidae
species,Camponotus subbarbatus,Hymenoptera,Formicidae
tribe,Syrphini,Diptera,Syrphidae
genus,Araneus,Araneae,Araneidae
family,Gracillariidae,Lepidoptera,Gracillariidae
genus,Uloborus,Araneae,Uloboridae
genus,Lasius,Hymenoptera,Formicidae
species,Hentzia palmarum,Araneae,Salticidae
genus,Rhagonycha,Coleoptera,Cantharidae
subfamily,Phaneropterinae,Orthoptera,Tettigoniidae
species,Graphopsocus cruciatus,Psocodea,Stenopsocidae
family,Oedemeridae,Coleoptera,Oedemeridae
genus,Empoasca,Hemiptera,Cicadellidae
subfamily,Tipulinae,Diptera,Tipulidae
genus,Agelenopsis,Araneae,Agelenidae
tribe,Cynipini,Hymenoptera,Cynipidae
family,Succineidae,Stylommatophora,Succineidae
species,Philoscia muscorum,Isopoda,Philosciidae
species,Macrodiplosis majalis,Diptera,Cecidomyiidae
subfamily,Hesperiinae,Lepidoptera,Hesperiidae
family,Cerambycidae,Coleoptera,Cerambycidae
species,Dolichoderus taschenbergi,Hymenoptera,Formicidae
genus,Anaspis,Coleoptera,Scraptiidae
family,Torymidae,Hymenoptera,Torymidae
species,Octotoma plicatula,Coleoptera,Chrysomelidae
genus,Mimetus,Araneae,Mimetidae
species,Stagmomantis carolina,Mantodea,Mantidae
genus,Agallia,Hemiptera,Cicadellidae
species,Dasineura pellex,Diptera,Cecidomyiidae
genus,Agrilus,Coleoptera,Buprestidae
genus,Cryptocephalus,Coleoptera,Chrysomelidae
genus,Melanotus,Coleoptera,Elateridae
species,Philodromus marxi,Araneae,Philodromidae
species,Delphinia picta,Diptera,Otitidae
species,Ptosima gibbicollis,Coleoptera,Buprestidae
genus,Mordella,Coleoptera,Mordellidae
tribe,Camponotini,Hymenoptera,Formicidae
subfamily,Alleculinae,Coleoptera,Tenebrionidae
genus,Harmonia,Coleoptera,Coccinellidae
subgenus,Lasius,Hymenoptera,Formicidae
species,Ectobius pallidus,Blattodea,Blattellidae
family,Aderidae,Coleoptera,Aderidae
subfamily,Cossoninae,Coleoptera,Curculionidae
family,Leptoceridae,Trichoptera,Leptoceridae
subfamily,Cryptocephalinae,Coleoptera,Chrysomelidae
species,Toxomerus marginatus,Diptera,Syrphidae
species,Cupido comyntas,Lepidoptera,Lycaenidae
family,Lycosidae,Araneae,Lycosidae
genus,Glischrochilus,Coleoptera,Nitidulidae
species,Rhagonycha angulata,Coleoptera,Cantharidae
family,Psocidae,Psocodea,Psocidae
species,Brachys aeruginosus,Coleoptera,Buprestidae
genus,Triplax,Coleoptera,Erotylidae
species,Photinus pyralis,Coleoptera,Lampyridae
genus,Minettia,Diptera,Lauxaniidae
species,Neoscona crucifera,Araneae,Araneidae
subfamily,Sciapodinae,Diptera,Dolichopodidae
species,Lasius neoniger,Hymenoptera,Formicidae
genus,Conotrachelus,Coleoptera,Curculionidae
species,Efferia aestuans,Diptera,Asilidae
family,Mimetidae,Araneae,Mimetidae
genus,Macrodactylus,Coleoptera,Scarabaeidae
species,Hentzia mitrata,Araneae,Salticidae
family,Lycidae,Coleoptera,Lycidae
genus,Araniella,Araneae,Araneidae
species,Mystacides sepulchralis,Trichoptera,Leptoceridae
genus,Anaxipha,Orthoptera,Trigonidiidae
genus,Verrucosa,Araneae,Araneidae
genus,Leptogaster,Diptera,Asilidae
genus,Armadillidium,Isopoda,Armadillidiidae
subgenus,Empoasca,Hemiptera,Cicadellidae
family,Xylophagidae,Diptera,Xylophagidae
family,Sarcophagidae,Diptera,Sarcophagidae
species,Rainieria antennaepes,Diptera,Micropezidae
species,Oxidus gracilis,Polydesmida,Paradoxosomatidae
species,Synemosyna formica,Araneae,Salticidae
family,Coniopterygidae,Neuroptera,Coniopterygidae
subfamily,Cassidinae,Coleoptera,Chrysomelidae
genus,Contarinia,Diptera,Cecidomyiidae
subfamily,Dolichoderinae,Hymenoptera,Formicidae
genus,Hyperaspis,Coleoptera,Coccinellidae
genus,Paria,Coleoptera,Chrysomelidae
family,Derbidae,Hemiptera,Derbidae
species,Euschistus servus,Hemiptera,Pentatomidae
genus,Macrosiagon,Coleoptera,Ripiphoridae
genus,Hibana,Araneae,Anyphaenidae
species,Lygaeus turcicus,Hemiptera,Lygaeidae
genus,Synemosyna,Araneae,Salticidae
genus,Trichopoda,Diptera,Tachinidae
species,Anthaxia quercata,Coleoptera,Buprestidae
species,Acronicta morula,Lepidoptera,Noctuidae
genus,Asterocampa,Lepidoptera,Nymphalidae
tribe,Arctiini,Lepidoptera,Erebidae
genus,Dasychira,Lepidoptera,Erebidae
species,Papilio troilus,Lepidoptera,Papilionidae
species,Amphipyra pyramidoides,Lepidoptera,Noctuidae
species,Ischnura posita,Odonata,Coenagrionidae
subfamily,Chloropinae,Diptera,Chloropidae
species,Polypsocus corruptus,Psocodea,Amphipsocidae
species,Amblyomma americanum,Ixodida,Ixodidae
family,Scarabaeidae,Coleoptera,Scarabaeidae
species,Ixodes scapularis,Ixodida,Ixodidae
species,Boisea trivittata,Hemiptera,Rhopalidae
species,Opheodrys aestivus,Squamata,Colubridae
genus,Linyphia,Araneae,Linyphiidae
genus,Dilophus,Diptera,Bibionidae
species,Epitheca spinigera,Odonata,Corduliidae
tribe,Cryptocephalini,Coleoptera,Chrysomelidae
family,Bibionidae,Diptera,Bibionidae
species,Camponotus nearcticus,Hymenoptera,Formicidae
tribe,Cassidini,Coleoptera,Chrysomelidae
species,Diabrotica undecimpunctata,Coleoptera,Chrysomelidae
species,Baliosus nervosus,Coleoptera,Chrysomelidae
family,Tomoceridae,Collembola,Tomoceridae
family,Entomobryidae,Collembola,Entomobryidae
genus,Systena,Coleoptera,Chrysomelidae
species,Micrathena mitrata,Araneae,Araneidae
species,Helocassis clavata,Coleoptera,Chrysomelidae
species,Gyponana octolineata,Hemiptera,Cicadellidae
genus,Anthonomus,Coleoptera,Curculionidae
genus,Capraita,Coleoptera,Chrysomelidae
species,Cryptocephalus mutabilis,Coleoptera,Chrysomelidae
species,Vespula vidua,Hymenoptera,Vespidae
species,Rugosana querci,Hemiptera,Cicadellidae
species,Jikradia olitoria,Hemiptera,Cicadellidae
subclass,Pterygota,NA,NA
species,Ormenoides venusta,Hemiptera,Flatidae
subtribe,Cryptoflatina,Hemiptera,Flatidae
species,Lithacodes fasciola,Lepidoptera,Limacodidae
order,Lepidoptera,Lepidoptera,NA
superfamily,Thomisoidea,Araneae,NA
suborder,Brachycera,Diptera,NA
tribe,Coccinellini,Coleoptera,Coccinellidae
genus,Metcalfa,Hemiptera,Flatidae
superfamily,Tortricoidea,Lepidoptera,NA
tribe,Melanotini,Coleoptera,Elateridae
species,Acanalonia conica,Hemiptera,Acanaloniidae
order,Hemiptera,Hemiptera,NA
species,Metcalfa pruinosa,Hemiptera,Flatidae
suborder,Heteroptera,Hemiptera,NA
zoosubsection,Calyptratae,Diptera,NA
order,Araneae,Araneae,NA
species,Omolicna fulva,Hemiptera,Derbidae
suborder,Symphyta,Hymenoptera,NA
species,Chinavia hilaris,Hemiptera,Pentatomidae
species,Exomala orientalis,Coleoptera,Scarabaeidae
tribe,Gyponini,Hemiptera,Cicadellidae
order,Psocodea,Psocodea,NA
superfamily,Pentatomoidea,Hemiptera,NA
superfamily,Cercopoidea,Hemiptera,NA
order,Hymenoptera,Hymenoptera,NA
species,Frontinella pyramitela,Araneae,Linyphiidae
genus,Acanalonia,Hemiptera,Acanaloniidae
genus,Macremphytus,Hymenoptera,Tenthredinidae
superfamily,Papilionoidea,Lepidoptera,NA
species,Psyche casta,Lepidoptera,Psychidae
genus,Flatormenis,Hemiptera,Flatidae
species,Hapithus saltator,Orthoptera,Gryllidae
order,Blattodea,Blattodea,NA
tribe,Panopodini,Lepidoptera,Erebidae
order,Diptera,Diptera,NA
suborder,Auchenorrhyncha,Hemiptera,NA
order,Opiliones,Opiliones,NA
species,Acharia stimulea,Lepidoptera,Limacodidae
species,Cyrtoxipha columbiana,Orthoptera,Gryllidae
genus,Temnothorax,Hymenoptera,Formicidae
species,Polydrusus formosus,Coleoptera,Curculionidae
tribe,Dendryphantini,Araneae,Salticidae
order,Coleoptera,Coleoptera,NA
species,Graphocephala versuta,Hemiptera,Cicadellidae
species,Thionia bullata,Hemiptera,Issidae
phylum,Arthropoda,NA,NA
species,Graphocephala fennahi,Hemiptera,Cicadellidae
species,Flatormenis proxima,Hemiptera,Flatidae
order,Trichoptera,Trichoptera,NA
order,Orthoptera,Orthoptera,NA
suborder,Hemerobiiformia,Neuroptera,NA
class,Insecta,NA,NA
subfamily,Entiminae,Coleoptera,Curculionidae
species,Japananus hyalinus,Hemiptera,Cicadellidae
subfamily,Deltocephalinae,Hemiptera,Cicadellidae
species,Pseudocneorhinus bifasciatus,Coleoptera,Curculionidae
order,Ephemeroptera,Ephemeroptera,NA
genus,Thionia,Hemiptera,Issidae
species,Orientus ishidae,Hemiptera,Cicadellidae
suborder,Ensifera,Orthoptera,NA
species,Thionia quinquata,Hemiptera,Issidae
suborder,Zygoptera,Odonata,NA
suborder,Apocrita,Hymenoptera,NA
superfamily,Agelenoidea,Araneae,NA
species,Conoderus lividus,Coleoptera,Elateridae
superfamily,Gelechioidea,Lepidoptera,NA
infraorder,Entelegynae,Araneae,NA
species,Colladonus clitellarius,Hemiptera,Cicadellidae
species,Callirhytis quercusmodesta,Hymenoptera,Cynipidae
superfamily,Pyraloidea,Lepidoptera,NA
class,Arachnida,NA,NA
superfamily,Yponomeutoidea,Lepidoptera,NA
species,Vasates quadripedes,Trombidiformes,Eriophyidae
genus,Bucculatrix,Lepidoptera,Bucculatricidae
genus,Cedusa,Hemiptera,Derbidae
complex,Formica fusca-group,Hymenoptera,Formicidae
genus,Paraphlepsius,Hemiptera,Cicadellidae
subfamily,Apioninae,Coleoptera,Apionidae
suborder,Sternorrhyncha,Hemiptera,NA
species,Schizura ipomaeae,Lepidoptera,Notodontidae
subgenus,Myrmentoma,Hymenoptera,Formicidae
species,Lycorma delicatula,Hemiptera,Fulgoridae
infraorder,Culicomorpha,Diptera,NA
kingdom,Plantae,NA,NA
infraorder,Tipulomorpha,Diptera,NA
order,Pseudoscorpiones,Pseudoscorpiones,NA
species,Craesus latitarsus,Hymenoptera,Tenthredinidae
superfamily,Curculionoidea,Coleoptera,NA
species,Lon zabulon,Lepidoptera,Hesperiidae
order,Dermaptera,Dermaptera,NA
species,Vasates aceriscrumena,Trombidiformes,Eriophyidae
genus,Nylanderia,Hymenoptera,Formicidae
epifamily,Anthophila,Lepidoptera,Choreutidae
order,Thysanoptera,Thysanoptera,NA
species,Natada nasoni,Lepidoptera,Limacodidae
tribe,Nezarini,Hemiptera,Pentatomidae
genus,Pococera,Lepidoptera,Pyralidae
superfamily,Tettigonioidea,Orthoptera,NA
species,Oncometopia orbona,Hemiptera,Cicadellidae
order,Neuroptera,Neuroptera,NA
species,Platycotis vittata,Hemiptera,Membracidae
species,Homaledra octagonella,Lepidoptera,Batrachedridae
species,Omphalocera munroei,Lepidoptera,Pyralidae
superfamily,Sciaroidea,Diptera,NA
species,Strophosoma melanogrammum,Coleoptera,Curculionidae
genus,Desmia,Lepidoptera,Crambidae
subfamily,Spilomelinae,Lepidoptera,Crambidae
tribe,Ceresini,Hemiptera,Membracidae
species,Hyla cinerea,Anura,Hylidae
species,Toxonevra superba,Diptera,Pallopteridae
species,Eriophyes cerasicrumena,Trombidiformes,Eriophyidae
superfamily,Coccoidea,Hemiptera,NA
species,Anotia uhleri,Hemiptera,Derbidae
species,Megapenthes limbalis,Coleoptera,Elateridae
zoosubsection,Acalyptratae,Diptera,NA
species,Temnothorax longispinosus,Hymenoptera,Formicidae
species,Hyalopterus pruni,Hemiptera,Aphididae
infraorder,Pentatomomorpha,Hemiptera,NA
superfamily,Tipuloidea,Diptera,NA
family,Triozidae,Hemiptera,Triozidae
superfamily,Psylloidea,Hemiptera,NA
suborder,Nematocera,Diptera,NA
species,Sophonia orientalis,Hemiptera,Cicadellidae
species,Temnothorax curvispinosus,Hymenoptera,Formicidae
species,Limonius basilaris,Coleoptera,Elateridae
infraorder,Aphidomorpha,Hemiptera,NA
subfamily,Baridinae,Coleoptera,Curculionidae
genus,Eratoneura,Hemiptera,Cicadellidae
subfamily,Araneinae,Araneae,Araneidae
epifamily,Termitoidae,Blattodea,NA
order,Symphypleona,Collembola,NA
superfamily,Araneoidea,Araneae,NA
suborder,Araneomorphae,Araneae,NA
superfamily,Lycosoidea,Araneae,NA
superfamily,Ichneumonoidea,Hymenoptera,NA
species,Pseudoedophrys hilleri,Coleoptera,Curculionidae
subfamily,Eurymelinae,Hemiptera,Cicadellidae
tribe,Macropsini,Hemiptera,Cicadellidae
genus,Oncopsis,Hemiptera,Cicadellidae
tribe,Typhlocybini,Hemiptera,Cicadellidae
genus,Cyrtolobus,Hemiptera,Membracidae
species,Synecdoche impunctata,Hemiptera,Achilidae
subfamily,Typhlocybinae,Hemiptera,Cicadellidae
species,Micrutalis calva,Hemiptera,Membracidae
superfamily,Muscoidea,Diptera,NA
species,Graphocephala coccinea,Hemiptera,Cicadellidae
stateofmatter,Life,NA,NA
order,Mantodea,Mantodea,NA
species,Promalactis suzukiella,Lepidoptera,Oecophoridae
subgenus,Fuscopolistes,Hymenoptera,Vespidae
infraorder,Cimicomorpha,Hemiptera,NA
subfamily,Campopleginae,Hymenoptera,Ichneumonidae
infraorder,Fulgoromorpha,Hemiptera,NA
genus,Gasteruption,Hymenoptera,Gasteruptiidae
genus,Strongylium,Coleoptera,Tenebrionidae
subfamily,Flatinae,Hemiptera,Flatidae
species,Brachyponera chinensis,Hymenoptera,Formicidae
species,Lechriops oculatus,Coleoptera,Curculionidae
superfamily,Fulgoroidea,Hemiptera,NA
species,Otiocerus wolfii,Hemiptera,Derbidae
genus,Alebra,Hemiptera,Cicadellidae
superfamily,Tephritoidea,Diptera,NA
subfamily,Luciliinae,Diptera,Calliphoridae
subfamily,Erigoninae,Araneae,Linyphiidae
genus,Neofidia,Coleoptera,Chrysomelidae
species,Dolerosomus silaceus,Coleoptera,Elateridae
superfamily,Tenthredinoidea,Hymenoptera,NA
species,Erythroneura bistrata,Hemiptera,Cicadellidae
subphylum,Myriapoda,NA,NA
genus,Pogonognathellus,Entomobryomorpha,Tomoceridae
